chipUid;captureDate;captureAddressPostCode;captureAddressPostName;captureAddressThoroughfare;captureAddressLocatorDesignator;captureAddressLocatorBuilding;captureAddressDescription;captureLat;captureLon;animalSpecies;animalBreed;animalSex;animalColor;animalAge;animalFur;animalHeight;animalWeight;vaccinationsInfo;isSterilizationInfo;releasedDate;releasedAddressPostCode;releasedAddressPostName;releasedAddressThoroughfare;releasedAddressLocatorDesignator;releasedAddressLocatorBuilding;releasedAddressDescription;releasedLat;releasedLon;days_in_captivity;captureYear;captureMonth
2564;2025-02-04;76018;Івано-Франківськ;вул. Чорновола;аеропорт;;;48.894628;24.68755;собака;;Самиця;чорна з підпалом;1 рік;короткошерстна;60.0;42.0;;ІСТИНА;2025-02-10;76018;Івано-Франківськ;вул. Чорновола;аеропорт;;;48.894628;24.68755;6.0;2025.0;2.0
2565;2025-02-06;76005;Івано-Франківськ;вул.Довженка;2;;;48.90405;24.69402;собака;;Самиця;чорна з підпалом;2-3 роки;короткошерстна;30.0;19.0;;ІСТИНА;2025-02-12;76005;Івано-Франківськ;вул.Довженка;2;;;48.90405;24.69402;6.0;2025.0;2.0
2566;2025-02-10;76005;Івано-Франківськ;вул.Довженка;22;;;48.901382;24.689644;собака;;Самець;чорна з підпалом;1 рік;короткошерстна;60.0;36.0;;ІСТИНА;;76005;Івано-Франківськ;вул.Довженка;22;;;48.901382;24.689644;;2025.0;2.0
2567;2025-02-12;76005;Івано-Франківськ;вул.Довженка;23;;;48.901031;24.685435;собака;;Самець;чорний з білим;2-3 роки;довгошерстинй;40.0;29.0;;ІСТИНА;;76005;Івано-Франківськ;вул.Довженка;23;;;48.901031;24.685435;;2025.0;2.0
2568;2025-02-10;76010;Івано-Франківськ;вул. Сотника Дідича;;;;48.921503;24.708541;собака;;Самиця;чепрана;1 рік;короткошерстна;50.0;36.0;;ІСТИНА;2025-02-14;76010;Івано-Франківськ;вул. Сотника Дідича;;;;48.921503;24.708541;4.0;2025.0;2.0
2669;2025-02-17;76014;Івано-Франківськ;вул.Польова;14;;;48.89748;24.70787;собака;;Самиця;біло-чорна;1 рік;короткошерстна;30.0;12.0;;ІСТИНА;2025-02-21;76014;Івано-Франківськ;вул.Польова;14;;;48.89748;24.70787;4.0;2025.0;2.0
2670;2025-02-17;76014;Івано-Франківськ;вул.Польова;14;;;48.89748;24.70787;собака;;Самиця;чорнобіла;1 рік;короткошерстна;30.0;12.0;;ІСТИНА;2025-02-21;76014;Івано-Франківськ;вул.Польова;14;;;48.89748;24.70787;4.0;2025.0;2.0
2672;2025-02-20;76495;Івано-Франківськ;вул.Автоливмашівська;гараж ГДК;;;48.878;24.75365;собака;;Самиця;чорна;1 рік;короткошерстна;60.0;48.0;;ІСТИНА;2025-02-24;76495;Івано-Франківськ;вул.Автоливмашівська;гараж ГДК;;;48.878;24.75365;4.0;2025.0;2.0
2673;2025-02-20;76000;;вул. Вовчинецька ;206;;;48.94407;24.74574;собака;;Самець;рудий;6 рік;довгошерстинй;70.0;46.0;;ІСТИНА;2025-02-24;76000;;вул. Вовчинецька ;206;;;48.94407;24.74574;4.0;2025.0;2.0
2675;2025-02-25;78410;с.Тисменичани;;;;;48.77843;24.66263;собака;;Самиця;чорна з підпалом;2-3 роки;короткошерстна;40.0;28.0;;ІСТИНА;2025-03-03;78410;с.Тисменичани;;;;;48.77843;24.66263;6.0;2025.0;2.0
2676;2025-02-27;76492;с. Микитинці;;;;;48.907674;24.749808;собака;;Самиця;чорна з підпалом;2-3 роки;довгошерстна;50.0;28.0;;ІСТИНА;2025-03-06;76492;с. Павлівка;;;;;48.98713;24.66643;7.0;2025.0;2.0
2677;2025-02-28;77460;с.Черніїв;дачі Діброва;;;;48.844825;24.745312;собака;;Самиця;руда;2-3 роки;довгошерстна;50.0;28.0;;ІСТИНА;2025-03-05;77460;с.Черніїв;дачі Діброва;;;;48.844825;24.745312;5.0;2025.0;2.0
2574;2025-02-24;77457;с.Радча;;;;;;;собака;;Самець;чорний;6 рік;довгошерстинй;50.0;24.0;;ІСТИНА;2025-03-06;76492;с. Павлівка;;;;;48.98713;24.66643;10.0;2025.0;2.0
2579;2025-03-04;76010;Івано-Франківськ;вул. Сотника Дідича;2;;;48.925213;24.702048;собака;;Самиця;руда;1 рік;короткошерстна;50.0;26.0;;ІСТИНА;2025-03-10;76010;Івано-Франківськ;вул. Сотника Дідича;2;;;48.925213;24.702048;6.0;2025.0;3.0
2580;2025-03-05;76018;Івано-Франківськ;вул. Залізнична;автовокзал;;;48.91879;24.72562;собака;;Самиця;світлоруда;2-3 роки;короткошерстна;40.0;22.0;;ІСТИНА;2025-03-10;76018;Івано-Франківськ;вул. Залізнична;автовокзал;;;48.91879;24.72562;5.0;2025.0;3.0
2581;2025-03-06;76492;с.Угорники;;;;;48.922361;24.764142;собака;;Самиця;руда;2-3 роки;довгошерстна;30.0;19.0;;ІСТИНА;2025-03-07;76492;с.Угорники;;;;;48.922361;24.764142;1.0;2025.0;3.0
2584;2025-03-06;77421;с.Рибне;;;;;48.955099;24.612465;собака;;Самиця;чорна;3-6 років;короткошерстна;60.0;28.0;;ІСТИНА;2025-03-06;76492;с. Павлівка;;;;;48.98713;24.66643;0.0;2025.0;3.0
2585;2025-03-05;76494;Івано-Франківськ;вул. Юності ;62а;;;48.900862;24.757514;собака;;Самиця;чепрана;2-3 роки;довгошерстна;40.0;18.0;;ІСТИНА;2025-03-10;76494;Івано-Франківськ;вул. Юності ;62а;;;48.900862;24.757514;5.0;2025.0;3.0
